cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
1,50,Male,Buenos Aires,Silver,MobileApp,6/29/2024
2,20,Female,Mexico,Gold,Store,12/3/2024
3,55,Male,Sao Paolo,Gold,Website,9/18/2023
4,25,Male,Mexico,Platinum,Store,1/2/2022
5,20,Female,Mexico,Silver,MobileApp,9/13/2021
6,30,Male,Sao Paolo,Silver,Website,3/29/2025
7,45,Female,Mexico,Silver,MobileApp,3/16/2022
8,35,Female,Sao Paolo,Silver,Store,9/20/2024
9,40,Male,Sao Paolo,Platinum,Store,7/12/2025
10,35,Female,Buenos Aires,Silver,Website,3/11/2022
11,35,Male,Mexico,Silver,Amazon,11/21/2022
12,40,Male,Buenos Aires,Silver,Store,1/24/2025
13,20,Female,Mexico,Silver,Store,11/4/2021
14,30,Male,Sao Paolo,Silver,Store,8/24/2025
15,20,Female,Mexico,Silver,Website,1/24/2024
16,60,Female,Mexico,Silver,Store,2/13/2022
17,50,Female,Buenos Aires,Silver,MobileApp,4/6/2023
18,18,Male,Sao Paolo,Platinum,Store,4/6/2024
19,35,Male,Buenos Aires,Silver,Store,3/28/2021
20,50,Female,Buenos Aires,Silver,Store,1/3/2021
21,20,Male,Mexico,Platinum,Website,1/7/2022
22,30,Male,Buenos Aires,Gold,Website,4/1/2025
23,50,Male,Sao Paolo,Platinum,Store,10/4/2022
24,18,Male,Buenos Aires,Platinum,Amazon,11/13/2023
25,35,Male,Mexico,Silver,Store,4/8/2021
26,25,Female,Sao Paolo,Gold,MobileApp,11/1/2022
27,50,Female,Buenos Aires,Silver,Website,3/26/2025
28,55,Male,Sao Paolo,Silver,Store,11/17/2021
29,50,Male,Sao Paolo,Gold,MobileApp,6/18/2022
30,30,Male,Mexico,Silver,MobileApp,3/31/2023
31,45,Female,Sao Paolo,Gold,Store,1/2/2022
32,40,Male,Sao Paolo,Gold,Website,4/22/2024
33,25,Female,Buenos Aires,Silver,Store,2/21/2022
34,40,Male,Sao Paolo,Gold,Website,12/30/2022
35,18,Female,Sao Paolo,Silver,Store,5/22/2024
36,30,Male,Sao Paolo,Silver,MobileApp,4/28/2023
37,20,Female,Sao Paolo,Gold,Store,11/1/2022
38,20,Male,Mexico,Silver,Store,5/18/2024
39,18,Female,Mexico,Gold,Store,5/13/2021
40,35,Male,Buenos Aires,Silver,Store,2/22/2021
41,25,Female,Mexico,Silver,Website,1/11/2023
42,35,Female,Sao Paolo,Gold,Store,11/26/2022
43,18,Male,Buenos Aires,Silver,MobileApp,1/23/2021
44,25,Female,Mexico,Silver,Store,2/4/2024
45,30,Female,Mexico,Silver,MobileApp,6/15/2025
46,40,Male,Mexico,Gold,Website,7/13/2025
47,25,Male,Buenos Aires,Silver,Mercado Libre,4/5/2022
48,35,Male,Mexico,Gold,Mercado Libre,10/12/2022
49,45,Female,Sao Paolo,Silver,Amazon,4/27/2022
50,35,Female,Mexico,Gold,MobileApp,4/30/2021
51,20,Male,Sao Paolo,Platinum,Store,11/4/2022
52,18,Male,Sao Paolo,Silver,MobileApp,7/27/2021
53,45,Female,Sao Paolo,Silver,Mercado Libre,11/14/2021
54,18,Female,Sao Paolo,Gold,Store,12/4/2021
55,45,Male,Sao Paolo,Gold,Website,6/4/2021
56,30,Female,Sao Paolo,Silver,Store,5/18/2023
57,50,Male,Mexico,Gold,Website,3/24/2024
58,40,Male,Buenos Aires,Gold,Website,1/29/2022
59,60,Female,Buenos Aires,Gold,Website,5/20/2022
60,25,Male,Sao Paolo,Gold,Website,8/29/2023
61,40,Male,Mexico,Silver,Mercado Libre,11/9/2021
62,25,Male,Buenos Aires,Platinum,Website,7/6/2024
63,30,Female,Sao Paolo,Silver,MobileApp,3/26/2024
64,35,Female,Mexico,Silver,Store,1/14/2021
65,45,Male,Mexico,Silver,Store,3/18/2021
66,60,Male,Sao Paolo,Silver,Website,9/24/2024
67,40,Male,Buenos Aires,Silver,Store,2/13/2022
68,25,Female,Buenos Aires,Silver,Store,1/29/2022
69,25,Male,Sao Paolo,Silver,Website,8/8/2021
70,35,Female,Sao Paolo,Gold,Website,1/14/2023
71,20,Male,Sao Paolo,Silver,Website,3/9/2022
72,20,Male,Sao Paolo,Silver,Store,3/17/2023
73,25,Male,Mexico,Silver,Store,1/18/2025
74,25,Male,Mexico,Silver,Website,8/5/2025
75,25,Female,Sao Paolo,Silver,Store,3/9/2024
76,20,Male,Buenos Aires,Silver,Store,9/15/2023
77,18,Male,Sao Paolo,Platinum,Store,3/2/2025
78,18,Male,Sao Paolo,Gold,Store,10/16/2022
79,60,Male,Sao Paolo,Gold,Store,7/23/2025
80,25,Male,Mexico,Silver,Store,3/28/2023
81,25,Male,Sao Paolo,Silver,Store,4/3/2025
82,35,Male,Sao Paolo,Silver,Website,1/25/2023
83,20,Female,Sao Paolo,Gold,Store,11/7/2022
84,50,Male,Buenos Aires,Silver,Store,4/12/2023
85,40,Male,Buenos Aires,Silver,Amazon,1/25/2024
86,18,Female,Sao Paolo,Silver,MobileApp,1/28/2021
87,25,Male,Sao Paolo,Silver,Store,9/15/2023
88,45,Male,Mexico,Platinum,Amazon,6/7/2024
89,50,Male,Mexico,Gold,Store,2/20/2022
90,30,Male,Sao Paolo,Gold,Store,1/19/2025
91,35,Female,Buenos Aires,Silver,Mercado Libre,1/25/2021
92,20,Male,Mexico,Gold,Amazon,9/7/2025
93,60,Female,Sao Paolo,Gold,Website,11/28/2024
94,20,Male,Mexico,Platinum,Website,11/4/2022
95,50,Male,Buenos Aires,Silver,Website,6/26/2022
96,35,Female,Mexico,Silver,Store,6/14/2021
97,35,Male,Sao Paolo,Gold,Store,7/27/2021
98,30,Female,Sao Paolo,Silver,Website,8/7/2023
99,20,Male,Sao Paolo,Gold,Amazon,9/12/2023
100,20,Female,Sao Paolo,Platinum,Store,9/6/2022
101,20,Male,Mexico,Silver,MobileApp,1/8/2022
102,20,Female,Buenos Aires,Silver,Store,9/10/2022
103,40,Male,Mexico,Silver,Website,3/10/2021
104,25,Female,Buenos Aires,Gold,Website,3/24/2025
105,18,Male,Sao Paolo,Gold,Website,7/17/2025
106,55,Female,Buenos Aires,Silver,Store,10/8/2024
107,45,Male,Mexico,Silver,Store,4/11/2021
108,50,Female,Sao Paolo,Silver,Website,1/1/2021
109,60,Male,Mexico,Gold,Store,12/17/2021
110,20,Male,Sao Paolo,Silver,Store,1/7/2021
111,25,Male,Mexico,Silver,Website,11/14/2021
112,40,Male,Mexico,Gold,Website,9/15/2022
113,35,Male,Sao Paolo,Silver,Store,5/24/2022
114,20,Female,Mexico,Silver,Website,7/5/2021
115,40,Female,Mexico,Silver,Amazon,12/29/2022
116,20,Male,Sao Paolo,Silver,Store,4/7/2022
117,20,Female,Sao Paolo,Silver,Website,12/9/2021
118,30,Male,Sao Paolo,Platinum,Store,9/27/2022
119,30,Male,Mexico,Gold,Store,12/14/2022
120,30,Female,Buenos Aires,Gold,Store,10/29/2023
121,18,Female,Buenos Aires,Platinum,Store,7/30/2022
122,45,Female,Mexico,Silver,MobileApp,5/16/2021
123,25,Male,Mexico,Silver,Store,1/18/2022
124,20,Female,Sao Paolo,Silver,Website,7/5/2021
125,45,Male,Mexico,Gold,Store,10/1/2022
126,55,Male,Sao Paolo,Gold,Store,7/17/2023
127,45,Male,Sao Paolo,Silver,Website,10/27/2024
128,40,Female,Mexico,Silver,MobileApp,8/22/2023
129,35,Female,Sao Paolo,Silver,MobileApp,7/15/2022
130,30,Female,Mexico,Silver,MobileApp,4/4/2024
131,18,Male,Buenos Aires,Gold,Store,6/17/2023
132,25,Male,Sao Paolo,Silver,MobileApp,10/1/2022
133,25,Male,Sao Paolo,Platinum,Store,11/17/2021
134,25,Male,Buenos Aires,Silver,MobileApp,9/9/2025
135,35,Male,Mexico,Gold,Amazon,10/5/2025
136,30,Female,Sao Paolo,Platinum,Store,3/26/2024
137,18,Male,Sao Paolo,Platinum,Store,5/8/2023
138,20,Male,Mexico,Silver,Website,10/21/2025
139,35,Male,Mexico,Silver,MobileApp,9/25/2023
140,18,Male,Sao Paolo,Silver,Store,10/12/2021
141,45,Male,Sao Paolo,Silver,Mercado Libre,11/18/2023
142,30,Female,Buenos Aires,Gold,Website,12/17/2021
143,30,Female,Mexico,Platinum,Store,3/24/2021
