promo_name,start_date,end_date,discount_pct,promo_type,promo_id
Christmas Sale 2021,4/13/2021,5/12/2021,25,Christmas,1
Buenos Aires Sale 2021,5/13/2021,5/15/2021,20,SPS,2
Sao Paolo Sale 2021,7/20/2021,7/22/2021,25,SPS,3
Mexico Shopping Festival 2021,1/1/2021,2/28/2021,15,MSF,4
Black Friday 2021,11/26/2021,11/28/2021,30,Black Friday,5
Mexico National Day 2021,12/1/2021,12/3/2021,20,Christmas,6
Summer Sale 2021,7/1/2021,8/31/2021,10,Summer Sale,7
Christmas Sale 2022,4/2/2022,5/1/2022,25,Christmas,8
Buenos Aires Sale 2022,5/2/2022,5/4/2022,25,SPS,9
Sao Paolo Sale 2022,7/10/2022,7/12/2022,25,SPS,10
Mexico Shopping Festival 2022,1/1/2022,2/28/2022,25,MSF,11
Black Friday 2022,11/25/2022,11/27/2022,35,Black Friday,12
Mexico National Day 2021,12/1/2022,12/3/2022,10,Christmas,13
Summer Sale 2022,7/1/2022,8/31/2022,10,Summer Sale,14
Christmas Sale 2023,3/23/2023,4/20/2023,20,Christmas,15
Buenos Aires Sale 2023,4/21/2023,4/23/2023,25,SPS,16
Sao Paolo Sale 2023,6/29/2023,7/1/2023,20,SPS,17
Mexico Shopping Festival 2023,1/1/2023,2/28/2023,15,MSF,18
Black Friday 2023,11/24/2023,11/26/2023,35,Black Friday,19
Mexico National Day 2021,12/1/2023,12/3/2023,15,Christmas,20
Summer Sale 2023,7/1/2023,8/31/2023,20,Summer Sale,21
Christmas Sale 2024,3/11/2024,4/9/2024,15,Christmas,22
Buenos Aires Sale 2024,4/10/2024,4/12/2024,20,SPS,23
Sao Paolo Sale 2024,6/17/2024,6/19/2024,30,SPS,24
Mexico Shopping Festival 2024,1/1/2024,2/28/2024,15,MSF,25
Black Friday 2024,11/29/2024,12/1/2024,35,Black Friday,26
Mexico National Day 2021,12/1/2024,12/3/2024,15,Christmas,27
Summer Sale 2024,7/1/2024,8/31/2024,10,Summer Sale,28
Christmas Sale 2025,3/1/2025,3/30/2025,30,Christmas,29
Buenos Aires Sale 2025,3/31/2025,4/2/2025,30,SPS,30
Sao Paolo Sale 2025,6/7/2025,6/9/2025,25,SPS,31
Mexico Shopping Festival 2025,1/1/2025,2/28/2025,15,MSF,32
Summer Sale 2025,7/1/2025,8/31/2025,10,Summer Sale,33
